"id","opportunity","percentile","cutoff","accessibility"
"1","jobs",50,45,42663.3309421383
"2","jobs",50,45,205557.513720792
"3","jobs",50,45,208138.899581113
"4","jobs",50,45,32216.0008704888
"5","jobs",50,45,18249.0450856442
"6","jobs",50,45,1950.69014859413
"7","jobs",50,45,35441.5728392448
"8","jobs",50,45,16150.3496011653
"9","jobs",50,45,80564.4775438741
"10","jobs",50,45,184207.876935248
"11","jobs",50,45,20635.9194009808
"12","jobs",50,45,66205.3750041154
"13","jobs",50,45,24706.2546161955
"14","jobs",50,45,11930.8835245416
"15","jobs",50,45,468.086378601093
"16","jobs",50,45,39350.9631943828
"17","jobs",50,45,7937.89227920281
"18","jobs",50,45,121175.951897344
"19","jobs",50,45,15050.6247891119
"20","jobs",50,45,21917.8012899211
"21","jobs",50,45,19833.9473571571
"22","jobs",50,45,14883.8165392205
"23","jobs",50,45,158149.771959514
"24","jobs",50,45,238182.054631675
"25","jobs",50,45,9307.3892188497
"26","jobs",50,45,184737.092067616
"27","jobs",50,45,39622.5015952853
"28","jobs",50,45,278976.369349301
"29","jobs",50,45,161998.385916516
"30","jobs",50,45,81658.9061959636
"31","jobs",50,45,266296.278215287
"32","jobs",50,45,43160.1193456853
"33","jobs",50,45,57785.1624507361
"34","jobs",50,45,12771.2227517908
"35","jobs",50,45,236395.405836918
"36","jobs",50,45,87507.1046593098
"37","jobs",50,45,422.793707776786
"38","jobs",50,45,49744.3372428288
"39","jobs",50,45,20286.9826808222
"40","jobs",50,45,251341.990729735
"41","jobs",50,45,150584.91879009
"42","jobs",50,45,211181.616042286
"43","jobs",50,45,163456.48825839
"44","jobs",50,45,91321.1972705006
"45","jobs",50,45,263056.917295533
"46","jobs",50,45,214826.53035385
"47","jobs",50,45,32780.9488831644
"48","jobs",50,45,216304.881376597
"49","jobs",50,45,20869.0305006354
"50","jobs",50,45,0
"51","jobs",50,45,210366.742472057
"52","jobs",50,45,139803.382132346
"53","jobs",50,45,458.681049482459
"54","jobs",50,45,184646.814681987
"55","jobs",50,45,143180.935668192
"56","jobs",50,45,248113.965234265
"57","jobs",50,45,7314.6546507525
"58","jobs",50,45,34429.6981330353
"59","jobs",50,45,99757.8190017837
"60","jobs",50,45,159081.447336754
"61","jobs",50,45,212182.395699011
"62","jobs",50,45,111073.396908782
"63","jobs",50,45,8737.9458362305
"64","jobs",50,45,28810.0295003423
"65","jobs",50,45,221861.82900032
"66","jobs",50,45,0
"67","jobs",50,45,56384.0750326295
"68","jobs",50,45,29101.8253035815
"69","jobs",50,45,95839.8079945596
"70","jobs",50,45,72090.8918305179
"71","jobs",50,45,46863.2561801168
"72","jobs",50,45,48140.5047031304
"73","jobs",50,45,243518.675533078
"74","jobs",50,45,5273.67091856157
"75","jobs",50,45,225874.615732197
"76","jobs",50,45,120809.590744166
"77","jobs",50,45,21087.1365894409
"78","jobs",50,45,191171.381159837
"79","jobs",50,45,164678.419720176
"80","jobs",50,45,47601.5841144237
"81","jobs",50,45,5239.15154934787
"82","jobs",50,45,43779.9551741096
"83","jobs",50,45,24160.3532690057
"84","jobs",50,45,20073.0059435708
"85","jobs",50,45,616.692810859238
"86","jobs",50,45,185119.115306435
"87","jobs",50,45,177717.046241372
"88","jobs",50,45,125394.439918454
"89","jobs",50,45,37746.591369309
"90","jobs",50,45,0
"91","jobs",50,45,242469.460273981
"92","jobs",50,45,47691.9890231014
"93","jobs",50,45,40264.7460714668
"94","jobs",50,45,213831.827840585
"95","jobs",50,45,37195.0560941796
"96","jobs",50,45,20229.9310277867
"97","jobs",50,45,178183.168725145
"98","jobs",50,45,51931.7901431398
"99","jobs",50,45,182900.706297708
"100","jobs",50,45,0
"101","jobs",50,45,94719.3840082156
"102","jobs",50,45,23007.8952541364
"103","jobs",50,45,14014.7084763356
"104","jobs",50,45,128047.760402709
"105","jobs",50,45,264455.771479213
"106","jobs",50,45,190378.406685044
"107","jobs",50,45,6979.98342490768
"108","jobs",50,45,51715.1604670348
"109","jobs",50,45,16053.2270111703
"110","jobs",50,45,22788.3471115978
"111","jobs",50,45,5176.62400957238
"112","jobs",50,45,37232.9338325058
"113","jobs",50,45,32041.6101724219
"114","jobs",50,45,13540.6164985354
"115","jobs",50,45,59521.52935812
"116","jobs",50,45,9938.28321073638
"117","jobs",50,45,100705.060566971
"118","jobs",50,45,30790.0665355364
"119","jobs",50,45,88035.0776751162
"120","jobs",50,45,65718.3076389214
"121","jobs",50,45,16016.930114965
"122","jobs",50,45,66161.0161147738
"123","jobs",50,45,251243.690046713
"124","jobs",50,45,5258.25393591753
"125","jobs",50,45,10580.9941852739
"126","jobs",50,45,4600.90155442128
"127","jobs",50,45,7753.32425390047
"128","jobs",50,45,51068.9280861798
"129","jobs",50,45,117552.205178929
"130","jobs",50,45,82692.2160736098
"131","jobs",50,45,9415.48417464875
"132","jobs",50,45,170896.713326203
"133","jobs",50,45,193140.824706981
"134","jobs",50,45,254330.989060119
"135","jobs",50,45,207985.474132176
"136","jobs",50,45,28218.5066142655
"137","jobs",50,45,426.751061931345
"138","jobs",50,45,0
"139","jobs",50,45,49139.9019352208
"140","jobs",50,45,201699.27922703
"141","jobs",50,45,197968.457963478
"142","jobs",50,45,7046.63075673033
"143","jobs",50,45,14561.1168532333
"144","jobs",50,45,474.803742815815
"145","jobs",50,45,60222.5574274536
"146","jobs",50,45,23934.4128800112
"147","jobs",50,45,232124.372004508
"148","jobs",50,45,79695.3918789113
"149","jobs",50,45,65131.9360181635
"150","jobs",50,45,149947.081549023
"151","jobs",50,45,110957.288567665
"152","jobs",50,45,153650.287968352
"153","jobs",50,45,7717.42182158739
"154","jobs",50,45,0
"155","jobs",50,45,126989.81133634
"156","jobs",50,45,55859.6830302073
"157","jobs",50,45,75925.5066639373
"158","jobs",50,45,36090.2403208327
