stop_code,stop_id,stop_lat,stop_lon,parent_station,stop_desc,stop_name,location_type,zone_id
777001,888001,49.26573652,-123.2490407,,,UBC,1,ZN 1
777002,888002,49.26586065,-123.2490941,,,UBC,1,ZN 1
777003,888003,49.26159014,-123.2415282,,,Thunderbird,1,ZN 1
777004,888004,49.26164057,-123.2413943,,,Thunderbird,1,ZN 1
777005,888005,49.25496942,-123.2357583,,,Wesbrook,1,ZN 1
777006,888006,49.25501779,-123.2356005,,,Wesbrook,1,ZN 1
777007,888007,49.23476846,-123.1853248,,,Dunbar,1,ZN 1
777008,888008,49.23468071,-123.1853245,,,Dunbar,1,ZN 1
777009,888009,49.23464494,-123.1557726,,,Kerrisdale,1,ZN 1
777010,888010,49.23455301,-123.1557723,,,Kerrisdale,1,ZN 1
777011,888011,49.23471011,-123.1702934,,,Mackenzie,1,ZN 1
777012,888012,49.23461816,-123.1703059,,,Mackenzie,1,ZN 1
777013,888013,49.23435853,-123.1395537,,,Granville,1,ZN 1
777014,888014,49.23425824,-123.1395598,,,Granville,1,ZN 1
777015,888015,49.23397072,-123.1280346,,,Oak,1,ZN 1
777016,888016,49.23387878,-123.1280407,,,Oak,1,ZN 1
777017,888017,49.23358841,-123.1161327,,,Oakridge,1,ZN 1
777018,888018,49.23348184,-123.1161389,,,Oakridge,1,ZN 1
777019,888019,49.22572097,-123.1016728,,,Main,1,ZN 1
777020,888020,49.22562068,-123.101679,,,Main,1,ZN 1
777021,888021,49.22556291,-123.0907625,,,Fraser,1,ZN 1
777022,888022,49.22545845,-123.090756,,,Fraser,1,ZN 1
777023,888023,49.22535124,-123.0772874,,,Knight,1,ZN 1
777024,888024,49.22524259,-123.0772936,,,Knight,1,ZN 1
777025,888025,49.22516622,-123.0656499,,,Victoria,1,ZN 1
777026,888026,49.22507011,-123.0656497,,,Victoria,1,ZN 1
777027,888027,49.22486269,-123.0547268,,,Elliott,1,ZN 1
777028,888028,49.22476657,-123.0547395,,,Elliott,1,ZN 1
777029,888029,49.22475971,-123.0410352,,,Kerr,1,ZN 1
777030,888030,49.22467196,-123.0410352,,,Kerr,1,ZN 1
777031,888031,49.22327595,-123.0281276,,,Arlington,1,ZN 1
777032,888032,49.22320489,-123.0282201,,,Arlington,1,ZN 1
777033,888033,49.2227438,-123.0127394,,,Central Park,1,ZN 2
777034,888034,49.22269576,-123.0126245,,,Central Park,1,ZN 2
777035,888035,49.22710053,-123.0082104,,,Metrotown,1,ZN 2
777036,888036,49.22704203,-123.0080956,,,Metrotown,1,ZN 2
777037,888037,49.23153647,-123.0035212,,,Grange,1,ZN 2
777038,888038,49.23152394,-123.0034,,,Grange,1,ZN 2
777039,888039,49.24297779,-123.0034901,,,Moscrop,1,ZN 2
777040,888040,49.24298197,-123.003337,,,Moscrop,1,ZN 2
777041,888041,49.2518199,-123.0043589,,,BCIT,1,ZN 2
777042,888042,49.25181573,-123.0042185,,,BCIT,1,ZN 2
777043,888043,49.26212044,-123.0031403,,,Still Creek,1,ZN 2
777044,888044,49.26212253,-123.0029935,,,Still Creek,1,ZN 2
777045,888045,49.26684445,-123.0031566,,,Brentwood,1,ZN 2
777046,888046,49.26684027,-123.0029969,,,Brentwood,1,ZN 2
777047,888047,49.28003656,-123.0031766,,,Hastings,1,ZN 2
777048,888048,49.28003656,-123.0030393,,,Hastings,1,ZN 2
777049,888049,49.30486459,-123.0295448,,,Phibbs,1,ZN 2
777050,888050,49.30476431,-123.0295319,,,Phibbs,1,ZN 2
777051,888051,49.30718459,-123.0405508,,,Lynn Creek,1,ZN 2
777052,888052,49.30707803,-123.0405571,,,Lynn Creek,1,ZN 2
777053,888053,49.30591708,-123.0661501,,,Moodyville,1,ZN 2
777054,888054,49.30581263,-123.0661308,,,Moodyville,1,ZN 2
777055,888055,49.31168892,-123.0808417,,,Lonsdale Quay,1,ZN 2
777056,888056,49.31160112,-123.0809118,,,Lonsdale Quay,1,ZN 2
777057,888057,49.32225225,-123.0974989,,,Hanes,1,ZN 2
777058,888058,49.32215609,-123.0975499,,,Hanes,1,ZN 2
777059,888059,49.32391877,-123.1077691,,,Pemberton,1,ZN 2
777060,888060,49.32380177,-123.1077624,,,Pemberton,1,ZN 2
777061,888061,49.32440562,-123.1224098,,,Capilano,1,ZN 2
777062,888062,49.32430526,-123.1224799,,,Capilano,1,ZN 2
777063,888063,49.32705298,-123.1388853,,,Park Royal,1,ZN 2
777064,888064,49.32694434,-123.1388786,,,Park Royal,1,ZN 2
777065,888065,49.32834647,-123.1567009,,,Ambleside,1,ZN 2
777066,888066,49.32824614,-123.1567326,,,Ambleside,1,ZN 2
