"id","accessibility","network","additional_length","row_name"
"50",0,"Existing Network",0,1
"66",0,"Existing Network",0,2
"90",0,"Existing Network",0,3
"100",0,"Existing Network",0,4
"138",0,"Existing Network",0,5
"154",0,"Existing Network",0,6
"162",0,"Existing Network",0,7
"174",0,"Existing Network",0,8
"189",0,"Existing Network",0,9
"191",0,"Existing Network",0,10
"218",0,"Existing Network",0,11
"247",0,"Existing Network",0,12
"254",0,"Existing Network",0,13
"290",0,"Existing Network",0,14
"323",0,"Existing Network",0,15
"326",0,"Existing Network",0,16
"343",0,"Existing Network",0,17
"400",0,"Existing Network",0,18
"423",0,"Existing Network",0,19
"455",0,"Existing Network",0,20
"462",0,"Existing Network",0,21
"474",0,"Existing Network",0,22
"478",0,"Existing Network",0,23
"511",0,"Existing Network",0,24
"513",0,"Existing Network",0,25
"514",0,"Existing Network",0,26
"593",0,"Existing Network",0,27
"635",0,"Existing Network",0,28
"645",0,"Existing Network",0,29
"675",0,"Existing Network",0,30
"690",0,"Existing Network",0,31
"750",0,"Existing Network",0,32
"755",0,"Existing Network",0,33
"767",0,"Existing Network",0,34
"786",0,"Existing Network",0,35
"826",0,"Existing Network",0,36
"830",0,"Existing Network",0,37
"854",0,"Existing Network",0,38
"1014",0,"Existing Network",0,39
"1043",0,"Existing Network",0,40
"1112",0,"Existing Network",0,41
"1119",0,"Existing Network",0,42
"1178",0,"Existing Network",0,43
"1190",0,"Existing Network",0,44
"1203",0,"Existing Network",0,45
"1223",0,"Existing Network",0,46
"1336",0,"Existing Network",0,47
"1338",0,"Existing Network",0,48
"1355",0,"Existing Network",0,49
"1390",0,"Existing Network",0,50
"1422",0,"Existing Network",0,51
"1434",0,"Existing Network",0,52
"1503",0,"Existing Network",0,53
"1506",0,"Existing Network",0,54
"1534",0,"Existing Network",0,55
"1546",0,"Existing Network",0,56
"1561",0,"Existing Network",0,57
"1577",0,"Existing Network",0,58
"1589",0,"Existing Network",0,59
"1595",0,"Existing Network",0,60
"1652",0,"Existing Network",0,61
"1679",0,"Existing Network",0,62
"1724",0,"Existing Network",0,63
"1793",0,"Existing Network",0,64
"1813",0,"Existing Network",0,65
"1838",0,"Existing Network",0,66
"1845",0,"Existing Network",0,67
"1870",0,"Existing Network",0,68
"1888",0,"Existing Network",0,69
"1913",0,"Existing Network",0,70
"1932",0,"Existing Network",0,71
"1947",0,"Existing Network",0,72
"1967",0,"Existing Network",0,73
"1998",0,"Existing Network",0,74
"2046",0,"Existing Network",0,75
"2099",0,"Existing Network",0,76
"2110",0,"Existing Network",0,77
"2113",0,"Existing Network",0,78
"2132",0,"Existing Network",0,79
"2172",0,"Existing Network",0,80
"2228",0,"Existing Network",0,81
"2239",0,"Existing Network",0,82
"2244",0,"Existing Network",0,83
"2248",0,"Existing Network",0,84
"2250",0,"Existing Network",0,85
"2283",0,"Existing Network",0,86
"2291",0,"Existing Network",0,87
"2323",0,"Existing Network",0,88
"2350",0,"Existing Network",0,89
"2412",0,"Existing Network",0,90
"2414",0,"Existing Network",0,91
"2420",0,"Existing Network",0,92
"2439",0,"Existing Network",0,93
"2440",0,"Existing Network",0,94
"2471",0,"Existing Network",0,95
"2475",0,"Existing Network",0,96
"2508",0,"Existing Network",0,97
"2510",0,"Existing Network",0,98
"2542",0,"Existing Network",0,99
"2543",0,"Existing Network",0,100
"2560",0,"Existing Network",0,101
"2626",0,"Existing Network",0,102
"2656",0,"Existing Network",0,103
"2690",0,"Existing Network",0,104
"2721",0,"Existing Network",0,105
"2755",0,"Existing Network",0,106
"2767",0,"Existing Network",0,107
"2792",0,"Existing Network",0,108
"2803",0,"Existing Network",0,109
"2838",0,"Existing Network",0,110
"2848",0,"Existing Network",0,111
"2883",0,"Existing Network",0,112
"2912",0,"Existing Network",0,113
"2945",0,"Existing Network",0,114
"2965",0,"Existing Network",0,115
"2966",0,"Existing Network",0,116
"2986",0,"Existing Network",0,117
"3011",0,"Existing Network",0,118
"3079",0,"Existing Network",0,119
"3188",0,"Existing Network",0,120
"3201",0,"Existing Network",0,121
"3212",0,"Existing Network",0,122
"3214",0,"Existing Network",0,123
"3242",0,"Existing Network",0,124
"3258",0,"Existing Network",0,125
"3297",0,"Existing Network",0,126
"3314",0,"Existing Network",0,127
"3325",0,"Existing Network",0,128
"3329",0,"Existing Network",0,129
"3348",0,"Existing Network",0,130
"3365",0,"Existing Network",0,131
"3385",0,"Existing Network",0,132
"3390",0,"Existing Network",0,133
"3512",0,"Existing Network",0,134
"3514",0,"Existing Network",0,135
"3616",0,"Existing Network",0,136
"3657",0,"Existing Network",0,137
"3717",0,"Existing Network",0,138
"3762",0,"Existing Network",0,139
"3769",0,"Existing Network",0,140
"3777",0,"Existing Network",0,141
"3785",0,"Existing Network",0,142
"3926",0,"Existing Network",0,143
"3959",0,"Existing Network",0,144
"3969",0,"Existing Network",0,145
"3999",0,"Existing Network",0,146
"4010",0,"Existing Network",0,147
"4072",0,"Existing Network",0,148
