"id","opportunity","percentile","cutoff","accessibility"
"1","jobs",50,45,39861.3689814363
"2","jobs",50,45,191882.365791932
"3","jobs",50,45,194515.29510471
"4","jobs",50,45,30774.178517117
"5","jobs",50,45,16649.1073736915
"6","jobs",50,45,1950.69014859413
"7","jobs",50,45,35040.4347893063
"8","jobs",50,45,12379.8043677329
"9","jobs",50,45,74927.6288163683
"10","jobs",50,45,178463.090977906
"11","jobs",50,45,20599.3827562576
"12","jobs",50,45,37705.7994735736
"13","jobs",50,45,23931.8969067822
"14","jobs",50,45,11893.1539284715
"15","jobs",50,45,468.086378601093
"16","jobs",50,45,37063.2689571411
"17","jobs",50,45,7937.89227920281
"18","jobs",50,45,103851.163536884
"19","jobs",50,45,14503.7222759692
"20","jobs",50,45,21121.4918157649
"21","jobs",50,45,18112.7327240453
"22","jobs",50,45,14065.6691107962
"23","jobs",50,45,140154.331876256
"24","jobs",50,45,229247.435792682
"25","jobs",50,45,6964.10559137523
"26","jobs",50,45,179043.953933854
"27","jobs",50,45,37334.8073580437
"28","jobs",50,45,266335.599675311
"29","jobs",50,45,112006.26239162
"30","jobs",50,45,72860.0789243249
"31","jobs",50,45,233682.796775478
"32","jobs",50,45,41299.688293587
"33","jobs",50,45,52982.2340556434
"34","jobs",50,45,12742.4422317582
"35","jobs",50,45,225709.075613169
"36","jobs",50,45,65772.0544270264
"37","jobs",50,45,422.793707776786
"38","jobs",50,45,48660.6972135929
"39","jobs",50,45,20269.8339803383
"40","jobs",50,45,221723.53325518
"41","jobs",50,45,137731.481856672
"42","jobs",50,45,202784.660433356
"43","jobs",50,45,159570.827078142
"44","jobs",50,45,78983.2529031706
"45","jobs",50,45,254786.356770104
"46","jobs",50,45,153234.166245315
"47","jobs",50,45,32497.0619398185
"48","jobs",50,45,193892.859585057
"49","jobs",50,45,20525.0706222738
"50","jobs",50,45,0
"51","jobs",50,45,199277.078462981
"52","jobs",50,45,128723.698302519
"53","jobs",50,45,458.681049482459
"54","jobs",50,45,180137.361919728
"55","jobs",50,45,133520.269134836
"56","jobs",50,45,240001.03986052
"57","jobs",50,45,7307.64292636472
"58","jobs",50,45,32820.3186965963
"59","jobs",50,45,87822.3381148599
"60","jobs",50,45,135100.02360214
"61","jobs",50,45,137916.558351381
"62","jobs",50,45,95723.214065303
"63","jobs",50,45,8733.1811896135
"64","jobs",50,45,24345.5597974158
"65","jobs",50,45,194888.329430064
"66","jobs",50,45,0
"67","jobs",50,45,51920.1747600852
"68","jobs",50,45,27962.4787079867
"69","jobs",50,45,72397.1156662605
"70","jobs",50,45,66618.3069730285
"71","jobs",50,45,46450.9821513537
"72","jobs",50,45,40790.4080724397
"73","jobs",50,45,161159.911447809
"74","jobs",50,45,5200.12229108639
"75","jobs",50,45,218962.252120183
"76","jobs",50,45,98240.8183017866
"77","jobs",50,45,18256.3805171398
"78","jobs",50,45,180560.079592359
"79","jobs",50,45,142073.84648659
"80","jobs",50,45,40728.6378979458
"81","jobs",50,45,4468.0391429966
"82","jobs",50,45,37419.3229194643
"83","jobs",50,45,23548.0529325274
"84","jobs",50,45,15758.0373215865
"85","jobs",50,45,616.692810859238
"86","jobs",50,45,177173.715630794
"87","jobs",50,45,104055.263594882
"88","jobs",50,45,115184.291950029
"89","jobs",50,45,37367.884570278
"90","jobs",50,45,0
"91","jobs",50,45,235547.189038306
"92","jobs",50,45,45030.5475366905
"93","jobs",50,45,39995.6119892767
"94","jobs",50,45,191894.55148446
"95","jobs",50,45,24195.412600129
"96","jobs",50,45,19367.0961024714
"97","jobs",50,45,127274.81217272
"98","jobs",50,45,48522.1443380513
"99","jobs",50,45,162703.892477223
"100","jobs",50,45,0
"101","jobs",50,45,84232.264566786
"102","jobs",50,45,16391.2071567486
"103","jobs",50,45,13614.6895512182
"104","jobs",50,45,110979.839609644
"105","jobs",50,45,227721.388125882
"106","jobs",50,45,163969.10726433
"107","jobs",50,45,6979.98342490768
"108","jobs",50,45,48305.5146619462
"109","jobs",50,45,15986.1146808977
"110","jobs",50,45,22081.3400029916
"111","jobs",50,45,4896.53058539902
"112","jobs",50,45,35974.0226599738
"113","jobs",50,45,21079.9493877824
"114","jobs",50,45,13316.3879605026
"115","jobs",50,45,42301.5915022346
"116","jobs",50,45,9913.02860623025
"117","jobs",50,45,73758.849509394
"118","jobs",50,45,30415.9541732432
"119","jobs",50,45,68100.9309278059
"120","jobs",50,45,49415.2481411674
"121","jobs",50,45,15716.9860154555
"122","jobs",50,45,60158.7820331745
"123","jobs",50,45,175918.561077717
"124","jobs",50,45,4979.29306084795
"125","jobs",50,45,10523.7381465835
"126","jobs",50,45,4600.90155442128
"127","jobs",50,45,7574.39927862878
"128","jobs",50,45,43465.0463002018
"129","jobs",50,45,99744.0581668445
"130","jobs",50,45,74535.9834172826
"131","jobs",50,45,9151.64182745467
"132","jobs",50,45,163626.793575603
"133","jobs",50,45,171474.900822537
"134","jobs",50,45,226097.087412637
"135","jobs",50,45,161388.661736364
"136","jobs",50,45,27127.2672632258
"137","jobs",50,45,426.751061931345
"138","jobs",50,45,0
