"Category","people","id","opportunity.x","percentile.x","cutoff.x","accessibility.x","opportunity.y","percentile.y","cutoff.y","accessibility.y","geometry","change"
"Population",500,"1",NA,50,45,39861.3689814363,NA,50,45,42680.5798844347,c(-122.830129380914, 49.1361723796492),2819.2109029984
"Population",500,"2",NA,50,45,191882.365791932,NA,50,45,204943.845038053,c(-123.075324277771, 49.2545351867224),13061.479246121
"Population",500,"3",NA,50,45,194515.29510471,NA,50,45,206609.173752638,c(-123.129287178062, 49.2496553820754),12093.878647928
"Population",500,"4",NA,50,45,30774.178517117,NA,50,45,31815.6325830889,c(-123.179185155896, 49.1503010655065),1041.4540659719
"Population",500,"5",NA,50,45,16649.1073736915,NA,50,45,18244.9676275266,c(-122.695722037672, 49.1065385332313),1595.8602538351
"Population",500,"6",NA,50,45,1950.69014859413,NA,50,45,1950.69014859413,c(-122.379529606626, 49.0577579830952),0
"Population",500,"7",NA,50,45,35040.4347893063,NA,50,45,35447.4078830885,c(-122.871538404616, 49.1439352175659),406.973093782195
"Population",500,"8",NA,50,45,12379.8043677329,NA,50,45,12975.8196127897,c(-123.15757191635, 49.2143448493647),596.0152450568
"Population",500,"9",NA,50,45,74927.6288163683,NA,50,45,79198.0615484821,c(-123.102121065508, 49.1885821439316),4270.4327321138
"Population",500,"10",NA,50,45,178463.090977906,NA,50,45,190486.242120709,c(-123.138377882073, 49.2894987400057),12023.151142803
"Population",500,"11",NA,50,45,20599.3827562576,NA,50,45,20658.4767662198,c(-122.871924996398, 49.1242999824015),59.0940099621985
"Population",500,"12",NA,50,45,37705.7994735736,NA,50,45,40589.1583791034,c(-123.034104170361, 49.3165244119882),2883.3589055298
"Population",500,"13",NA,50,45,23931.8969067822,NA,50,45,24702.1771580778,c(-122.730661937466, 49.1093753046566),770.2802512956
"Population",500,"14",NA,50,45,11893.1539284715,NA,50,45,11934.1916410808,c(-122.901316968134, 49.1296301430049),41.0377126093008
"Population",500,"15",NA,50,45,468.086378601093,NA,50,45,468.086378601093,c(-122.35588357437, 49.0612074333994),0
"Population",500,"16",NA,50,45,37063.2689571411,NA,50,45,39098.8794741891,c(-122.922982214698, 49.1950171233829),2035.610517048
"Population",500,"17",NA,50,45,7937.89227920281,NA,50,45,7937.89227920281,c(-122.329927601634, 49.0461298053777),0
"Population",500,"18",NA,50,45,103851.163536884,NA,50,45,121122.079395099,c(-123.175939694962, 49.2562494869336),17270.915858215
"Population",500,"19",NA,50,45,14503.7222759692,NA,50,45,14826.5158933762,c(-123.110154530494, 49.1598139988635),322.793617407
"Population",500,"20",NA,50,45,21121.4918157649,NA,50,45,22611.4692400749,c(-122.793921466765, 49.2005213664264),1489.97742431
"Population",500,"21",NA,50,45,18112.7327240453,NA,50,45,19722.9272201389,c(-122.748529172574, 49.2859963365848),1610.1944960936
"Population",500,"22",NA,50,45,14065.6691107962,NA,50,45,14879.7390811029,c(-122.748556832982, 49.1102448424643),814.0699703067
"Population",500,"23",NA,50,45,140154.331876256,NA,50,45,200394.697996285,c(-123.048830799471, 49.2805905772672),60240.366120029
"Population",500,"24",NA,50,45,229247.435792682,NA,50,45,243140.265624989,c(-123.100773327682, 49.2770861040334),13892.829832307
"Population",500,"25",NA,50,45,6964.10559137523,NA,50,45,9289.95471633368,c(-122.810373960103, 49.1432494647684),2325.84912495845
"Population",500,"26",NA,50,45,179043.953933854,NA,50,45,190351.799676422,c(-123.138213769925, 49.2911197560551),11307.845742568
"Population",500,"27",NA,50,45,37334.8073580437,NA,50,45,39370.4178750916,c(-122.931351559145, 49.1950225538482),2035.61051704791
"Population",500,"28",NA,50,45,266335.599675311,NA,50,45,287058.967958445,c(-123.099360661728, 49.2721655514601),20723.368283134
"Population",500,"29",NA,50,45,112006.26239162,NA,50,45,120377.71201542,c(-123.078262704036, 49.3130564150098),8371.4496238
"Population",500,"30",NA,50,45,72860.0789243249,NA,50,45,79691.4584138127,c(-122.797438808234, 49.2776243482693),6831.37948948779
"Population",500,"31",NA,50,45,233682.796775478,NA,50,45,265764.16987665,c(-123.099360070331, 49.2642206325566),32081.373101172
"Population",500,"32",NA,50,45,41299.688293587,NA,50,45,42511.6132484249,c(-122.770128513618, 49.2650112103037),1211.9249548379
"Population",500,"33",NA,50,45,52982.2340556434,NA,50,45,59840.1486643051,c(-122.850946875233, 49.1638494581213),6857.9146086617
"Population",500,"34",NA,50,45,12742.4422317582,NA,50,45,12771.2259118743,c(-122.785974731404, 49.0431606690547),28.7836801161011
"Population",500,"35",NA,50,45,225709.075613169,NA,50,45,231726.348458705,c(-123.102010645713, 49.2325030909048),6017.272845536
"Population",500,"36",NA,50,45,65772.0544270264,NA,50,45,85208.2023653927,c(-122.794127798223, 49.2823414600005),19436.1479383663
"Population",500,"37",NA,50,45,422.793707776786,NA,50,45,422.793707776786,c(-122.816454536229, 49.2158147892788),0
"Population",500,"38",NA,50,45,48660.6972135929,NA,50,45,49673.1444656781,c(-122.840330718764, 49.1283218004752),1012.4472520852
"Population",500,"39",NA,50,45,20269.8339803383,NA,50,45,20277.7122480133,c(-122.669157171665, 49.2214953763455),7.87826767500155
"Population",500,"40",NA,50,45,221723.53325518,NA,50,45,249857.131453258,c(-123.118138626358, 49.2602271938738),28133.598198078
"Population",500,"41",NA,50,45,137731.481856672,NA,50,45,149543.613759592,c(-123.026424793673, 49.2307597855045),11812.13190292
"Population",500,"42",NA,50,45,202784.660433356,NA,50,45,216230.544444256,c(-123.132246804135, 49.2785830976439),13445.8840109
"Population",500,"43",NA,50,45,159570.827078142,NA,50,45,200121.916681381,c(-123.076183178992, 49.2795655349007),40551.089603239
"Population",500,"44",NA,50,45,78983.2529031706,NA,50,45,89234.369696864,c(-122.883496697014, 49.2481350210418),10251.1167936934
"Population",500,"45",NA,50,45,254786.356770104,NA,50,45,273927.092720796,c(-123.110952164348, 49.2839719538779),19140.735950692
"Population",500,"46",NA,50,45,153234.166245315,NA,50,45,190833.87129692,c(-123.006541698383, 49.2631375473121),37599.705051605
"Population",500,"47",NA,50,45,32497.0619398185,NA,50,45,32761.4224451274,c(-122.840818145826, 49.1128454912232),264.360505308898
"Population",500,"48",NA,50,45,193892.859585057,NA,50,45,206644.25961774,c(-123.045213987243, 49.2319701483807),12751.400032683
"Population",500,"49",NA,50,45,20525.0706222738,NA,50,45,20859.3073866836,c(-122.664698803058, 49.1533308366504),334.236764409798
"Population",500,"50",NA,50,45,0,NA,50,45,0,c(-122.824186976317, 49.3165427697878),0
"Population",500,"51",NA,50,45,199277.078462981,NA,50,45,211836.421361392,c(-123.127693942026, 49.2709008414071),12559.342898411
"Population",500,"52",NA,50,45,128723.698302519,NA,50,45,138631.588165147,c(-122.919741039959, 49.1985482830625),9907.889862628
"Population",500,"53",NA,50,45,458.681049482459,NA,50,45,458.681049482459,c(-122.378394748468, 49.0801730925629),0
"Population",500,"54",NA,50,45,180137.361919728,NA,50,45,220878.776635324,c(-123.074289211315, 49.2806228505312),40741.414715596
