"id","opportunity","percentile","cutoff","accessibility"
"1","jobs",50,45,42680.5798844347
"2","jobs",50,45,204943.845038053
"3","jobs",50,45,206609.173752638
"4","jobs",50,45,31815.6325830889
"5","jobs",50,45,18244.9676275266
"6","jobs",50,45,1950.69014859413
"7","jobs",50,45,35447.4078830885
"8","jobs",50,45,12975.8196127897
"9","jobs",50,45,79198.0615484821
"10","jobs",50,45,190486.242120709
"11","jobs",50,45,20658.4767662198
"12","jobs",50,45,40589.1583791034
"13","jobs",50,45,24702.1771580778
"14","jobs",50,45,11934.1916410808
"15","jobs",50,45,468.086378601093
"16","jobs",50,45,39098.8794741891
"17","jobs",50,45,7937.89227920281
"18","jobs",50,45,121122.079395099
"19","jobs",50,45,14826.5158933762
"20","jobs",50,45,22611.4692400749
"21","jobs",50,45,19722.9272201389
"22","jobs",50,45,14879.7390811029
"23","jobs",50,45,200394.697996285
"24","jobs",50,45,243140.265624989
"25","jobs",50,45,9289.95471633368
"26","jobs",50,45,190351.799676422
"27","jobs",50,45,39370.4178750916
"28","jobs",50,45,287058.967958445
"29","jobs",50,45,120377.71201542
"30","jobs",50,45,79691.4584138127
"31","jobs",50,45,265764.16987665
"32","jobs",50,45,42511.6132484249
"33","jobs",50,45,59840.1486643051
"34","jobs",50,45,12771.2259118743
"35","jobs",50,45,231726.348458705
"36","jobs",50,45,85208.2023653927
"37","jobs",50,45,422.793707776786
"38","jobs",50,45,49673.1444656781
"39","jobs",50,45,20277.7122480133
"40","jobs",50,45,249857.131453258
"41","jobs",50,45,149543.613759592
"42","jobs",50,45,216230.544444256
"43","jobs",50,45,200121.916681381
"44","jobs",50,45,89234.369696864
"45","jobs",50,45,273927.092720796
"46","jobs",50,45,190833.87129692
"47","jobs",50,45,32761.4224451274
"48","jobs",50,45,206644.25961774
"49","jobs",50,45,20859.3073866836
"50","jobs",50,45,0
"51","jobs",50,45,211836.421361392
"52","jobs",50,45,138631.588165147
"53","jobs",50,45,458.681049482459
"54","jobs",50,45,220878.776635324
"55","jobs",50,45,160469.726499944
"56","jobs",50,45,259172.184246781
"57","jobs",50,45,7314.6546507525
"58","jobs",50,45,33981.7874253373
"59","jobs",50,45,100013.607902673
"60","jobs",50,45,157593.189425291
"61","jobs",50,45,144712.692838287
"62","jobs",50,45,111911.623302454
"63","jobs",50,45,8737.9458362305
"64","jobs",50,45,28796.9458555176
"65","jobs",50,45,219948.247581351
"66","jobs",50,45,0
"67","jobs",50,45,55568.8186852437
