stop_name,stop_code,stop_id,stop_lat,stop_lon,parent_station,stop_desc,location_type,zone_id
Waterfront,50001,5001,49.2859378099884,-123.1117447028065,,,1,ZN A
Waterfront,50002,5002,49.28597026628047,-123.11172849165088,,,1,ZN A
22nd Street,50003,5003,49.200237702155995,-122.94844396871724,,,1,ZN A
22nd Street,50004,5004,49.200133670814964,-122.9483921880454,,,1,ZN A
Burrard,50005,5005,49.285645592538366,-123.11943757233907,,,1,ZN A
Burrard,50006,5006,49.28556848343807,-123.11953828536757,,,1,ZN A
Granville,50007,5007,49.283083556779914,-123.1153726857128,,,1,ZN A
Granville,50008,5008,49.28300945290241,-123.11547187818616,,,1,ZN A
Stadium,50009,5009,49.27983560950536,-123.10997373800478,,,1,ZN A
Stadium,50010,5010,49.279757514334776,-123.1100683373846,,,1,ZN A
Main Street,50011,5011,49.273132261051416,-123.09996314885073,,,1,ZN A
Main Street,50012,5012,49.273032241354386,-123.09997823063821,,,1,ZN A
Commercial,50013,5013,49.26220813128607,-123.0690529791433,,,1,ZN A
Commercial,50014,5014,49.262207045284036,-123.06919661478057,,,1,ZN A
Nanaimo,50015,5015,49.24850713532564,-123.05622314788481,,,1,ZN A
Nanaimo,50016,5016,49.24842910159661,-123.05628110919832,,,1,ZN A
29th Avenue,50017,5017,49.24418944148585,-123.04577320956668,,,1,ZN A
29th Avenue,50018,5018,49.24409240370973,-123.04585102215357,,,1,ZN A
Joyce,50019,5019,49.238366727984975,-123.03175009380134,,,1,ZN A
Joyce,50020,5020,49.238284702738326,-123.03182029778345,,,1,ZN A
Patterson,50021,5021,49.229739772568166,-123.01260753566129,,,1,ZN A
Patterson,50022,5022,49.229657757824405,-123.0126869214213,,,1,ZN A
Metrotown,50023,5023,49.226227099683356,-123.00481922324904,,,1,ZN A
Metrotown,50024,5024,49.22614209001822,-123.00489861597669,,,1,ZN A
Royal Oak,50025,5025,49.220092137938416,-122.9882014163359,,,1,ZN A
Royal Oak,50026,5026,49.22000213488324,-122.98823807983435,,,1,ZN A
Edmonds,50027,5027,49.2124847457288,-122.95941741043335,,,1,ZN A
Edmonds,50028,5028,49.212446827926875,-122.95954914234004,,,1,ZN A
New Westminster,50029,5029,49.20149425935069,-122.91262313830548,,,1,ZN A
New Westminster,50030,5030,49.201405179671745,-122.91252714585632,,,1,ZN A
Columbia,50031,5031,49.20468073207005,-122.90652002912,,,1,ZN A
Columbia,50032,5032,49.20460265934435,-122.9064377572141,,,1,ZN A
Scott Road,50033,5033,49.20448007938387,-122.87423662926929,,,1,ZN A
Scott Road,50034,5034,49.20438204555207,-122.87421245577076,,,1,ZN A
Gateway,50035,5035,49.198897436927325,-122.85056259736758,,,1,ZN A
Gateway,50036,5036,49.198897630331174,-122.85071215498459,,,1,ZN A
Surrey,50037,5037,49.18984711861775,-122.84781285471712,,,1,ZN A
Surrey,50038,5038,49.18984730752109,-122.84795628175499,,,1,ZN A
King George,50039,5039,49.18263167523397,-122.84417353271259,,,1,ZN A
King George,50040,5040,49.182551751289935,-122.84423480771666,,,1,ZN A
Kensington,50041,5041,49.28042086775301,-122.96464116795553,,,1,ZN A
Kensington,50042,5042,49.28030746551444,-122.96464537614749,,,1,ZN A
Holdom,50043,5043,49.280392302537024,-122.98092682134825,,,1,ZN A
Holdom,50044,5044,49.28028430054943,-122.98093511722944,,,1,ZN A
Willingdon,50045,5045,49.2801427294186,-123.00301930281839,,,1,ZN A
Willingdon,50046,5046,49.280048226370546,-123.00302342414486,,,1,ZN A
Gilmore,50047,5047,49.280294219107894,-123.02350399630957,,,1,ZN A
Gilmore,50048,5048,49.280197016092686,-123.02350395011948,,,1,ZN A
Renfrew,50049,5049,49.28026843539075,-123.0441088969231,,,1,ZN A
Renfrew,50050,5050,49.28018203272941,-123.04410881987282,,,1,ZN A
Nanaimo,50051,5051,49.28027082455222,-123.05656492575396,,,1,ZN A
Nanaimo,50052,5052,49.28017362157725,-123.05656481459242,,,1,ZN A
Commercial,50053,5053,49.28031375912368,-123.07043315336699,,,1,ZN A
Commercial,50054,5054,49.280237642493695,-123.07043076364698,,,1,ZN A
Raymur,50055,5055,49.28100897080984,-123.08199407340766,,,1,ZN A
Raymur,50056,5056,49.281071894336165,-123.08185016194948,,,1,ZN A
Main,50057,5057,49.284679605377214,-123.09928264592848,,,1,ZN A
Main,50058,5058,49.28457163774723,-123.0992411542539,,,1,ZN A
