"id","opportunity","percentile","cutoff","accessibility"
"1","jobs",50,45,42641.5867204542
"2","jobs",50,45,235954.211983178
"3","jobs",50,45,209365.789585742
"4","jobs",50,45,31928.4169334603
"5","jobs",50,45,18247.51792467
"6","jobs",50,45,1950.69014859413
"7","jobs",50,45,35440.5442183421
"8","jobs",50,45,13006.203136425
"9","jobs",50,45,80029.3981470434
"10","jobs",50,45,217316.335370225
"11","jobs",50,45,20627.2106675566
"12","jobs",50,45,42438.8514257223
"13","jobs",50,45,24704.7274552213
"14","jobs",50,45,11917.7489510417
"15","jobs",50,45,468.086378601093
"16","jobs",50,45,39039.1589097952
"17","jobs",50,45,7937.89227920281
"18","jobs",50,45,122180.828965636
"19","jobs",50,45,14829.7268366205
"20","jobs",50,45,21921.4346391169
"21","jobs",50,45,19742.2814547395
"22","jobs",50,45,14882.2893782463
"23","jobs",50,45,155784.963170876
"24","jobs",50,45,243415.717706943
"25","jobs",50,45,9305.22250215743
"26","jobs",50,45,224419.442644534
"27","jobs",50,45,39310.6973106977
"28","jobs",50,45,285602.741704815
"29","jobs",50,45,121919.787741861
"30","jobs",50,45,79266.3654966838
"31","jobs",50,45,291320.581481385
"32","jobs",50,45,42340.914389639
"33","jobs",50,45,57730.5381406081
"34","jobs",50,45,12771.2227517908
"35","jobs",50,45,238287.549906747
"36","jobs",50,45,84499.8634540346
"37","jobs",50,45,422.793707776786
"38","jobs",50,45,49738.032755769
"39","jobs",50,45,20277.6274933064
"40","jobs",50,45,255073.915475426
"41","jobs",50,45,218074.183552462
"42","jobs",50,45,217896.418296381
"43","jobs",50,45,164061.032593995
"44","jobs",50,45,88374.0267484506
"45","jobs",50,45,266078.816580433
"46","jobs",50,45,189163.586128311
"47","jobs",50,45,32778.7238462616
"48","jobs",50,45,226982.587424854
"49","jobs",50,45,20844.9835396403
"50","jobs",50,45,0
"51","jobs",50,45,214809.485886374
"52","jobs",50,45,139419.34911796
"53","jobs",50,45,458.681049482459
"54","jobs",50,45,184763.617825397
"55","jobs",50,45,139416.919132724
"56","jobs",50,45,271843.316994617
"57","jobs",50,45,7314.6546507525
"58","jobs",50,45,34107.5995069213
"59","jobs",50,45,99159.6246128135
"60","jobs",50,45,157265.260370364
"61","jobs",50,45,179931.55101236
"62","jobs",50,45,110927.872207409
"63","jobs",50,45,8737.9458362305
"64","jobs",50,45,28811.9471870929
"65","jobs",50,45,224731.944997929
"66","jobs",50,45,0
"67","jobs",50,45,54881.9945066034
"68","jobs",50,45,28855.6138161557
"69","jobs",50,45,96265.1396775737
"70","jobs",50,45,87165.9761264012
"71","jobs",50,45,46855.6352984029
"72","jobs",50,45,112356.978802621
"73","jobs",50,45,195599.344964874
"74","jobs",50,45,5241.50115229179
"75","jobs",50,45,251486.323493669
"76","jobs",50,45,108309.090739713
"77","jobs",50,45,38286.2442692631
"78","jobs",50,45,192010.076597149
"79","jobs",50,45,168053.232985781
"80","jobs",50,45,46239.4547760788
"81","jobs",50,45,5238.48998144253
"82","jobs",50,45,43750.6639828328
"83","jobs",50,45,24153.5915455072
"84","jobs",50,45,21300.0685429875
"85","jobs",50,45,616.692810859238
"86","jobs",50,45,185602.317491127
"87","jobs",50,45,136534.125530121
"88","jobs",50,45,122545.183339234
"89","jobs",50,45,37735.2824902814
"90","jobs",50,45,0
"91","jobs",50,45,248406.549454067
"92","jobs",50,45,47684.3966372952
"93","jobs",50,45,40258.0038349952
"94","jobs",50,45,214043.528529991
"95","jobs",50,45,35437.758090785
"96","jobs",50,45,20224.0775739195
"97","jobs",50,45,145788.552191082
"98","jobs",50,45,51049.716019537
"99","jobs",50,45,175406.172882321
"100","jobs",50,45,0
"101","jobs",50,45,94363.2222006792
"102","jobs",50,45,22994.9061278576
"103","jobs",50,45,13912.0246238416
"104","jobs",50,45,123106.760549055
"105","jobs",50,45,247991.315360806
"106","jobs",50,45,191622.003479913
"107","jobs",50,45,6979.98342490768
"108","jobs",50,45,50833.0863434319
"109","jobs",50,45,16048.6332280581
"110","jobs",50,45,22522.6110166274
"111","jobs",50,45,5176.65185953614
"112","jobs",50,45,37099.3054660053
"113","jobs",50,45,32019.2612043698
"114","jobs",50,45,13460.24104656
"115","jobs",50,45,59513.2043183665
"116","jobs",50,45,9938.28321073638
"117","jobs",50,45,101990.388649983
"118","jobs",50,45,30772.1671177781
"119","jobs",50,45,85027.836469841
"120","jobs",50,45,88202.6506581604
"121","jobs",50,45,15994.6970171333
"122","jobs",50,45,66046.7853042789
"123","jobs",50,45,235535.82461199
"124","jobs",50,45,5212.79553752868
"125","jobs",50,45,10570.4949932799
"126","jobs",50,45,4600.90155442128
"127","jobs",50,45,7753.33991354845
"128","jobs",50,45,50756.6747479103
"129","jobs",50,45,117161.711470063
"130","jobs",50,45,83631.6503368211
"131","jobs",50,45,9415.51202461252
"132","jobs",50,45,184232.626772798
"133","jobs",50,45,187511.739934307
"134","jobs",50,45,245172.07535461
"135","jobs",50,45,213440.042429803
"136","jobs",50,45,28076.0533809869
"137","jobs",50,45,426.751061931345
"138","jobs",50,45,0
"139","jobs",50,45,63525.1249671917
"140","jobs",50,45,205765.866708963
"141","jobs",50,45,201340.470340177
"142","jobs",50,45,7046.63075673033
"143","jobs",50,45,14553.1236421243
"144","jobs",50,45,474.803742815815
"145","jobs",50,45,59401.4262818984
"146","jobs",50,45,23933.4169445632
"147","jobs",50,45,196659.972794085
"148","jobs",50,45,91291.3957915208
"149","jobs",50,45,62926.7677449635
"150","jobs",50,45,145363.722980194
"151","jobs",50,45,110574.274423794
"152","jobs",50,45,122443.452382882
"153","jobs",50,45,7717.42182158739
"154","jobs",50,45,0
"155","jobs",50,45,125446.94991576
"156","jobs",50,45,55793.5514728044
"157","jobs",50,45,74696.9044722816
"158","jobs",50,45,35660.7664220239
"159","jobs",50,45,102714.07777238
"160","jobs",50,45,97432.9949871222
"161","jobs",50,45,245633.273361672
"162","jobs",50,45,0
"163","jobs",50,45,94667.4918628568
"164","jobs",50,45,169403.655634546
"165","jobs",50,45,241528.598983207
"166","jobs",50,45,53157.0396998068
"167","jobs",50,45,93388.5856819911
"168","jobs",50,45,225709.84969273
"169","jobs",50,45,54552.5069290627
"170","jobs",50,45,64794.3708236391
"171","jobs",50,45,76934.3208904101
"172","jobs",50,45,6655.82924242601
"173","jobs",50,45,59067.5215053817
"174","jobs",50,45,0
"175","jobs",50,45,201663.456977541
"176","jobs",50,45,1997.17015309391
"177","jobs",50,45,36999.0901084655
"178","jobs",50,45,452.741048048279
"179","jobs",50,45,52179.2847728626
"180","jobs",50,45,3781.33404723229
"181","jobs",50,45,106007.293586107
"182","jobs",50,45,27653.8683208627
"183","jobs",50,45,59752.9984697433
"184","jobs",50,45,266257.662301652
"185","jobs",50,45,28513.7075670068
"186","jobs",50,45,3964.21385054773
"187","jobs",50,45,12917.0613994025
"188","jobs",50,45,248985.465638721
"189","jobs",50,45,0
"190","jobs",50,45,17622.7900813895
"191","jobs",50,45,0
"192","jobs",50,45,119213.679245399
"193","jobs",50,45,55027.7344201598
"194","jobs",50,45,226506.428700127
"195","jobs",50,45,10866.7413427607
"196","jobs",50,45,12381.3462411197
"197","jobs",50,45,26085.6135059675
"198","jobs",50,45,39139.2529896569
"199","jobs",50,45,345.189732292926
"200","jobs",50,45,91591.5487647032
"201","jobs",50,45,18034.7412241989
"202","jobs",50,45,76868.7173823827
"203","jobs",50,45,7029.29969486108
"204","jobs",50,45,432.016804847869
"205","jobs",50,45,184334.211192165
"206","jobs",50,45,20618.9069602958
"207","jobs",50,45,92995.1795873096
"208","jobs",50,45,124914.521858092
"209","jobs",50,45,67708.353806728
"210","jobs",50,45,42489.7437168051
"211","jobs",50,45,30677.3448963089
"212","jobs",50,45,276667.332684675
"213","jobs",50,45,224772.863621657
"214","jobs",50,45,37736.3129013208
"215","jobs",50,45,35715.3295048682
"216","jobs",50,45,88969.9135721491
"217","jobs",50,45,91673.2441790504
"218","jobs",50,45,0
"219","jobs",50,45,17120.6121728253
"220","jobs",50,45,100970.681996416
"221","jobs",50,45,243848.115057165
"222","jobs",50,45,19313.1423371845
"223","jobs",50,45,50556.9863933497
"224","jobs",50,45,178541.167373166
"225","jobs",50,45,202388.933222771
"226","jobs",50,45,179062.790552884
"227","jobs",50,45,1557.56037045771
"228","jobs",50,45,179380.754959451
"229","jobs",50,45,54018.2559850221
"230","jobs",50,45,1608.63987586466
"231","jobs",50,45,7494.34875405199
"232","jobs",50,45,1565.34600763767
"233","jobs",50,45,182968.015068596
"234","jobs",50,45,152688.907549748
"235","jobs",50,45,463.96741033827
"236","jobs",50,45,12626.4906725049
"237","jobs",50,45,9021.93557523384
"238","jobs",50,45,22792.9264268298
"239","jobs",50,45,283591.976708099
"240","jobs",50,45,92403.2650787998
"241","jobs",50,45,169840.685389439
"242","jobs",50,45,16541.8585935177
"243","jobs",50,45,103361.707111101
"244","jobs",50,45,275370.565057756
"245","jobs",50,45,270455.390146379
"246","jobs",50,45,9775.18077883644
"247","jobs",50,45,0
"248","jobs",50,45,48923.7567193991
"249","jobs",50,45,186248.790501354
"250","jobs",50,45,28559.6887737449
"251","jobs",50,45,3830.6618108331
"252","jobs",50,45,13769.269977961
"253","jobs",50,45,116291.010107789
"254","jobs",50,45,0
"255","jobs",50,45,13784.925271236
"256","jobs",50,45,84929.0442240772
"257","jobs",50,45,200315.267144696
"258","jobs",50,45,212764.868037528
"259","jobs",50,45,43091.5654868484
"260","jobs",50,45,57740.3340944138
"261","jobs",50,45,3332.49253375929
"262","jobs",50,45,92055.1213701749
"263","jobs",50,45,119981.176684593
"264","jobs",50,45,221972.853994541
"265","jobs",50,45,209937.041025904
"266","jobs",50,45,34071.7004105904
"267","jobs",50,45,12007.2851417279
"268","jobs",50,45,145608.74671065
"269","jobs",50,45,233508.524776918
"270","jobs",50,45,227563.04956175
"271","jobs",50,45,108196.042366583
"272","jobs",50,45,169360.634744719
"273","jobs",50,45,167825.705522626
"274","jobs",50,45,15848.5252269009
"275","jobs",50,45,34223.1764116438
"276","jobs",50,45,118522.92571963
"277","jobs",50,45,189506.505128408
"278","jobs",50,45,452.117151706465
"279","jobs",50,45,186344.449602221
"280","jobs",50,45,50574.7910853193
"281","jobs",50,45,664.828287423314
"282","jobs",50,45,195460.895908703
"283","jobs",50,45,196987.224769418
"284","jobs",50,45,249386.194843955
"285","jobs",50,45,134017.491972461
"286","jobs",50,45,58380.4358483339
"287","jobs",50,45,2628.46848474375
"288","jobs",50,45,17037.6047166147
"289","jobs",50,45,6617.99554713927
"290","jobs",50,45,0
"291","jobs",50,45,170432.246152554
"292","jobs",50,45,41818.2499860984
"293","jobs",50,45,94914.1001305309
"294","jobs",50,45,48063.1583674275
"295","jobs",50,45,182522.103685326
"296","jobs",50,45,8837.56963356277
"297","jobs",50,45,62237.7327023794
"298","jobs",50,45,11106.0858612341
"299","jobs",50,45,19360.8500780705
"300","jobs",50,45,76561.1840281019
"301","jobs",50,45,74687.1106079926
"302","jobs",50,45,30707.2990936164
"303","jobs",50,45,48244.3520334684
"304","jobs",50,45,67781.338547733
"305","jobs",50,45,164376.575559187
"306","jobs",50,45,132901.974190452
"307","jobs",50,45,2336.90779992609
"308","jobs",50,45,9380.53364438078
"309","jobs",50,45,83419.2715224322
"310","jobs",50,45,33872.7745566763
"311","jobs",50,45,11934.0229449509
"312","jobs",50,45,175375.971875554
"313","jobs",50,45,9956.90169699268
"314","jobs",50,45,163067.297102475
"315","jobs",50,45,27897.1959804765
"316","jobs",50,45,95320.1621839999
"317","jobs",50,45,106857.497466268
"318","jobs",50,45,39743.6068605646
"319","jobs",50,45,419.785656743401
"320","jobs",50,45,51006.7035943407
"321","jobs",50,45,34189.5797450322
"322","jobs",50,45,455.419401279588
"323","jobs",50,45,0
"324","jobs",50,45,124314.14274699
"325","jobs",50,45,102642.249188918
"326","jobs",50,45,0
"327","jobs",50,45,32844.3692944981
"328","jobs",50,45,7570.36306674122
"329","jobs",50,45,137854.209225061
"330","jobs",50,45,18192.547710956
"331","jobs",50,45,21762.0553405025
"332","jobs",50,45,33903.7083580472
"333","jobs",50,45,29975.3036737747
"334","jobs",50,45,198213.439636052
"335","jobs",50,45,116915.676903164
"336","jobs",50,45,60245.1373364083
"337","jobs",50,45,273702.348879463
"338","jobs",50,45,86949.977383558
"339","jobs",50,45,157384.36805096
"340","jobs",50,45,923.547211747843
"341","jobs",50,45,114727.077001561
"342","jobs",50,45,222585.913191439
"343","jobs",50,45,0
"344","jobs",50,45,27879.6574481514
