"id","opportunity","percentile","cutoff","accessibility"
"1","jobs",50,45,41892.5609400985
"2","jobs",50,45,198005.801560705
"3","jobs",50,45,203350.897234828
"4","jobs",50,45,31530.5370854433
"5","jobs",50,45,18206.3101659299
"6","jobs",50,45,1950.69014859413
"7","jobs",50,45,35428.6830987728
"8","jobs",50,45,12792.5213273037
"9","jobs",50,45,78093.9597362515
"10","jobs",50,45,181345.175195502
"11","jobs",50,45,20622.3209192768
"12","jobs",50,45,38288.8965436556
"13","jobs",50,45,24666.4964132091
"14","jobs",50,45,11908.095857314
"15","jobs",50,45,468.086378601093
"16","jobs",50,45,38092.4774919761
"17","jobs",50,45,7937.89227920281
"18","jobs",50,45,107733.503880396
"19","jobs",50,45,14719.7542563732
"20","jobs",50,45,22040.3455461862
"21","jobs",50,45,18943.0891546704
"22","jobs",50,45,14876.6713956067
"23","jobs",50,45,154411.922809706
"24","jobs",50,45,235104.077147574
"25","jobs",50,45,8363.33679027783
"26","jobs",50,45,181819.457747169
"27","jobs",50,45,38364.0158928786
"28","jobs",50,45,276095.703857914
"29","jobs",50,45,112764.756529256
"30","jobs",50,45,77675.1757531267
"31","jobs",50,45,253169.428387203
"32","jobs",50,45,42129.9786618717
"33","jobs",50,45,58412.1588929065
"34","jobs",50,45,12770.2578388394
"35","jobs",50,45,230713.099422108
"36","jobs",50,45,74843.4432957467
"37","jobs",50,45,422.793707776786
"38","jobs",50,45,49643.8651646824
"39","jobs",50,45,20269.8339803383
"40","jobs",50,45,248107.23667483
"41","jobs",50,45,144432.855088352
"42","jobs",50,45,208064.411083708
"43","jobs",50,45,160913.897763452
"44","jobs",50,45,86135.9680875193
"45","jobs",50,45,258608.979452233
"46","jobs",50,45,190933.099932045
"47","jobs",50,45,32960.9460762583
"48","jobs",50,45,208271.857317759
"49","jobs",50,45,20882.9556060937
"50","jobs",50,45,0
"51","jobs",50,45,205392.885312371
"52","jobs",50,45,137096.732048476
"53","jobs",50,45,458.681049482459
"54","jobs",50,45,181543.661444023
"55","jobs",50,45,136711.612261462
"56","jobs",50,45,244180.931487615
"57","jobs",50,45,7307.64292636472
"58","jobs",50,45,33662.465579926
"59","jobs",50,45,97784.8749593227
"60","jobs",50,45,154028.218136902
"61","jobs",50,45,144281.951871462
"62","jobs",50,45,113221.905293208
"63","jobs",50,45,8733.1811896135
"64","jobs",50,45,28982.640221854
"65","jobs",50,45,216173.00874668
"66","jobs",50,45,0
"67","jobs",50,45,56958.1166024965
"68","jobs",50,45,28566.6349115053
"69","jobs",50,45,74893.9182903331
"70","jobs",50,45,68244.9787218948
"71","jobs",50,45,47030.8653363253
"72","jobs",50,45,41096.6327785605
"73","jobs",50,45,162927.253606456
"74","jobs",50,45,5233.82556016787
"75","jobs",50,45,221680.589415821
"76","jobs",50,45,105358.203721965
"77","jobs",50,45,18339.947870528
"78","jobs",50,45,191442.722904838
"79","jobs",50,45,149089.269618255
"80","jobs",50,45,44839.816607183
"81","jobs",50,45,5192.42585322438
"82","jobs",50,45,40119.1711845876
"83","jobs",50,45,24149.378112511
"84","jobs",50,45,15923.6375021709
"85","jobs",50,45,616.692810859238
"86","jobs",50,45,185672.348824977
"87","jobs",50,45,111106.882101084
"88","jobs",50,45,120056.875469942
"89","jobs",50,45,37836.0517905305
"90","jobs",50,45,0
"91","jobs",50,45,239449.872801122
"92","jobs",50,45,47532.4530101938
"93","jobs",50,45,40367.296215173
"94","jobs",50,45,203746.395744725
"95","jobs",50,45,26663.3143956598
"96","jobs",50,45,21986.3456909803
"97","jobs",50,45,143878.417944919
"98","jobs",50,45,50254.4360375888
"99","jobs",50,45,170526.269431578
"100","jobs",50,45,0
"101","jobs",50,45,92794.8238115429
"102","jobs",50,45,23127.0432562061
"103","jobs",50,45,13823.9576130117
"104","jobs",50,45,113911.540772116
"105","jobs",50,45,239366.456499948
"106","jobs",50,45,186232.641344418
"107","jobs",50,45,6979.98342490768
"108","jobs",50,45,50037.8063614838
"109","jobs",50,45,16046.5756744991
"110","jobs",50,45,22371.668174519
"111","jobs",50,45,5178.59343256367
"112","jobs",50,45,36730.8630792811
"113","jobs",50,45,31140.3330456784
"114","jobs",50,45,13431.3764298925
"115","jobs",50,45,58786.050669426
"116","jobs",50,45,9937.99993326519
"117","jobs",50,45,74647.0023085867
"118","jobs",50,45,30885.1217530583
"119","jobs",50,45,75641.6475915176
"120","jobs",50,45,49934.1112508769
"121","jobs",50,45,15809.1730405527
"122","jobs",50,45,66528.8958112573
"123","jobs",50,45,181751.234438711
"124","jobs",50,45,5159.95728911561
"125","jobs",50,45,10565.5360786719
"126","jobs",50,45,4600.90155442128
"127","jobs",50,45,7753.2348578424
"128","jobs",50,45,54330.7117852132
"129","jobs",50,45,120738.263747878
"130","jobs",50,45,80939.2949039708
"131","jobs",50,45,9417.45359764005
"132","jobs",50,45,167787.761383708
"133","jobs",50,45,181579.379757503
"134","jobs",50,45,239047.133617109
"135","jobs",50,45,196617.10049122
"136","jobs",50,45,27437.7242728358
"137","jobs",50,45,426.751061931345
"138","jobs",50,45,0
"139","jobs",50,45,44739.3241689798
"140","jobs",50,45,197890.845946416
"141","jobs",50,45,195577.464110092
"142","jobs",50,45,7046.63075673033
"143","jobs",50,45,14549.0980779245
"144","jobs",50,45,474.803742815815
"145","jobs",50,45,59134.3160626688
"146","jobs",50,45,23926.1352061395
"147","jobs",50,45,192281.354022007
"148","jobs",50,45,59861.6837251197
"149","jobs",50,45,62549.6637260642
"150","jobs",50,45,148497.622273127
"151","jobs",50,45,122657.85497696
"152","jobs",50,45,108922.76706938
"153","jobs",50,45,7717.3868197134
"154","jobs",50,45,0
"155","jobs",50,45,124768.289909075
"156","jobs",50,45,57907.7864002868
"157","jobs",50,45,73222.6400826268
"158","jobs",50,45,34735.2565200538
"159","jobs",50,45,82770.8418939249
"160","jobs",50,45,96690.8696296326
"161","jobs",50,45,185203.212925183
"162","jobs",50,45,0
"163","jobs",50,45,92943.1105291857
"164","jobs",50,45,163326.019256795
"165","jobs",50,45,200499.667362749
"166","jobs",50,45,53108.5506865268
"167","jobs",50,45,85810.0267144797
"168","jobs",50,45,220315.034709316
"169","jobs",50,45,53112.1397385075
"170","jobs",50,45,63569.6806207673
"171","jobs",50,45,78850.0141120581
"172","jobs",50,45,6655.82924242601
"173","jobs",50,45,59575.1080298051
"174","jobs",50,45,0
"175","jobs",50,45,191908.86174609
"176","jobs",50,45,1997.17015309391
"177","jobs",50,45,36499.5525185765
"178","jobs",50,45,452.741048048279
"179","jobs",50,45,52102.2705934445
"180","jobs",50,45,3776.73210699928
"181","jobs",50,45,101730.880961013
"182","jobs",50,45,27834.4741288287
"183","jobs",50,45,58601.6674387943
"184","jobs",50,45,209275.033821741
"185","jobs",50,45,28038.0545569761
"186","jobs",50,45,3964.14225275585
"187","jobs",50,45,12909.4961660437
"188","jobs",50,45,240430.771558462
"189","jobs",50,45,0
"190","jobs",50,45,17558.1878372977
"191","jobs",50,45,0
"192","jobs",50,45,119069.477184707
"193","jobs",50,45,54822.9479482696
"194","jobs",50,45,194991.424267174
"195","jobs",50,45,11058.1480674991
"196","jobs",50,45,12383.5373067134
"197","jobs",50,45,25940.8293033082
"198","jobs",50,45,38134.9311168519
"199","jobs",50,45,345.189732292926
"200","jobs",50,45,88319.7218139223
"201","jobs",50,45,17977.9820447339
"202","jobs",50,45,78647.0196889927
"203","jobs",50,45,7029.29969486108
"204","jobs",50,45,432.016804847869
"205","jobs",50,45,174914.975977082
"206","jobs",50,45,20614.872314544
"207","jobs",50,45,36913.7099067644
"208","jobs",50,45,121791.03202417
"209","jobs",50,45,60930.6749717848
"210","jobs",50,45,42866.6557997183
"211","jobs",50,45,30208.1971452092
"212","jobs",50,45,273485.681512173
"213","jobs",50,45,192468.83667495
"214","jobs",50,45,37806.8350440425
"215","jobs",50,45,35503.328661477
"216","jobs",50,45,86880.5580132235
"217","jobs",50,45,86918.4626101666
"218","jobs",50,45,0
"219","jobs",50,45,17113.3486964377
"220","jobs",50,45,98937.9390606775
"221","jobs",50,45,235738.930296838
"222","jobs",50,45,10285.827844576
"223","jobs",50,45,50500.8099657069
"224","jobs",50,45,167290.630124383
"225","jobs",50,45,197435.208470379
"226","jobs",50,45,158915.75626946
"227","jobs",50,45,1557.56037045771
"228","jobs",50,45,169872.568681999
"229","jobs",50,45,53709.6189024798
"230","jobs",50,45,1595.58981752399
"231","jobs",50,45,7494.34875405199
"232","jobs",50,45,1565.34600763767
"233","jobs",50,45,182397.413517262
"234","jobs",50,45,145130.903380031
"235","jobs",50,45,463.96741033827
"236","jobs",50,45,12618.7127129257
"237","jobs",50,45,9020.95780577034
"238","jobs",50,45,22407.6423331472
"239","jobs",50,45,270534.922359041
"240","jobs",50,45,91260.7126436631
"241","jobs",50,45,128820.500067168
"242","jobs",50,45,16604.685006104
"243","jobs",50,45,101931.321927963
"244","jobs",50,45,249867.743589331
"245","jobs",50,45,256046.758572041
"246","jobs",50,45,9706.21574312622
"247","jobs",50,45,0
"248","jobs",50,45,49096.8813114554
"249","jobs",50,45,184703.108521899
"250","jobs",50,45,27203.7231584369
"251","jobs",50,45,3830.6618108331
"252","jobs",50,45,13776.2621624727
"253","jobs",50,45,115683.035448611
"254","jobs",50,45,0
"255","jobs",50,45,13772.1588448246
"256","jobs",50,45,84591.8854311258
"257","jobs",50,45,196599.348305271
"258","jobs",50,45,202297.38347463
"259","jobs",50,45,43070.0578109552
"260","jobs",50,45,58866.5974363114
"261","jobs",50,45,3332.49253375929
"262","jobs",50,45,89832.3866779251
"263","jobs",50,45,115787.876271972
"264","jobs",50,45,198424.666884816
"265","jobs",50,45,205710.166920595
"266","jobs",50,45,33768.1996049025
"267","jobs",50,45,11763.5943932949
"268","jobs",50,45,146130.52593035
"269","jobs",50,45,180165.165871695
"270","jobs",50,45,216982.335619846
"271","jobs",50,45,104282.703995497
"272","jobs",50,45,163283.044513348
"273","jobs",50,45,149788.028101227
"274","jobs",50,45,15840.7506710237
"275","jobs",50,45,34238.1650923462
"276","jobs",50,45,53255.6714647291
"277","jobs",50,45,183475.575662578
"278","jobs",50,45,452.117151706465
"279","jobs",50,45,182464.106789724
"280","jobs",50,45,50616.3322949062
"281","jobs",50,45,664.828287423314
"282","jobs",50,45,193456.344730219
"283","jobs",50,45,192379.562293733
"284","jobs",50,45,240822.523516307
"285","jobs",50,45,75958.4263496484
"286","jobs",50,45,59056.2243062722
"287","jobs",50,45,2626.07499510595
"288","jobs",50,45,17021.6960860332
"289","jobs",50,45,6610.26286380287
"290","jobs",50,45,0
"291","jobs",50,45,161817.624837608
"292","jobs",50,45,41761.4759640998
"293","jobs",50,45,89754.2364889271
"294","jobs",50,45,47584.8315015278
"295","jobs",50,45,170158.225203507
"296","jobs",50,45,8807.07112908946
"297","jobs",50,45,61008.0875091977
"298","jobs",50,45,11311.0012007181
"299","jobs",50,45,19066.7664257135
"300","jobs",50,45,78197.7336434907
"301","jobs",50,45,50221.2908214378
"302","jobs",50,45,30309.4192455994
"303","jobs",50,45,47590.4258757175
"304","jobs",50,45,66441.1600854283
"305","jobs",50,45,159394.908440879
"306","jobs",50,45,130203.529593914
"307","jobs",50,45,2336.90779992609
"308","jobs",50,45,9382.47521740832
"309","jobs",50,45,82794.4373260891
"310","jobs",50,45,33843.8095172479
"311","jobs",50,45,11880.8006746264
"312","jobs",50,45,170204.857303956
"313","jobs",50,45,9887.93666128246
"314","jobs",50,45,105755.113131929
"315","jobs",50,45,27885.7849124156
"316","jobs",50,45,89983.3107112425
"317","jobs",50,45,104025.79262035
"318","jobs",50,45,38292.8285370849
"319","jobs",50,45,419.785656743401
"320","jobs",50,45,38941.9455143775
"321","jobs",50,45,34287.4760090592
"322","jobs",50,45,455.419401279588
"323","jobs",50,45,0
"324","jobs",50,45,95237.9409557611
"325","jobs",50,45,100090.51062945
"326","jobs",50,45,0
"327","jobs",50,45,32903.2780994538
"328","jobs",50,45,8162.3888940222
"329","jobs",50,45,123583.23534394
"330","jobs",50,45,18159.7733648343
"331","jobs",50,45,19343.1864506172
"332","jobs",50,45,33664.8289776805
"333","jobs",50,45,29777.5225941865
"334","jobs",50,45,184429.925184522
"335","jobs",50,45,102663.798175854
"336","jobs",50,45,61312.7155142918
"337","jobs",50,45,262888.122269467
"338","jobs",50,45,88060.8127561266
"339","jobs",50,45,139506.345578497
"340","jobs",50,45,923.547211747843
"341","jobs",50,45,113090.548149963
"342","jobs",50,45,208907.950999796
"343","jobs",50,45,0
"344","jobs",50,45,27462.0092024158
"345","jobs",50,45,24805.969820131
"346","jobs",50,45,22739.2885276684
"347","jobs",50,45,109133.993868724
"348","jobs",50,45,6989.28836294126
"349","jobs",50,45,19033.9491078667
"350","jobs",50,45,26258.245835946
"351","jobs",50,45,27468.4660803578
"352","jobs",50,45,174698.426890021
"353","jobs",50,45,214508.879751096
"354","jobs",50,45,151838.932045865
"355","jobs",50,45,26663.9355108881
"356","jobs",50,45,12814.0889693289
"357","jobs",50,45,20054.0878499667
"358","jobs",50,45,51382.8002823262
"359","jobs",50,45,3555.72770101781
"360","jobs",50,45,4604.11317924972
"361","jobs",50,45,259642.815907639
"362","jobs",50,45,48031.345622569
"363","jobs",50,45,44576.1736864386
"364","jobs",50,45,6764.21327042762
"365","jobs",50,45,462.667251152046
"366","jobs",50,45,198698.872043883
"367","jobs",50,45,55603.773470631
"368","jobs",50,45,92833.0702574268
"369","jobs",50,45,110256.979464711
"370","jobs",50,45,185685.244167285
"371","jobs",50,45,181843.089153713
"372","jobs",50,45,88006.4166269286
"373","jobs",50,45,211630.819740197
"374","jobs",50,45,28595.1491121384
"375","jobs",50,45,74656.0164625412
"376","jobs",50,45,87416.4150582472
"377","jobs",50,45,4973.99931713129
"378","jobs",50,45,42723.7591654712
"379","jobs",50,45,801.240172855928
"380","jobs",50,45,66315.1282572861
"381","jobs",50,45,61323.4659839985
"382","jobs",50,45,19093.8592660917
"383","jobs",50,45,34187.2069393179
"384","jobs",50,45,74126.8404733929
"385","jobs",50,45,34253.0166321588
"386","jobs",50,45,29016.4377923482
"387","jobs",50,45,20516.11863074
"388","jobs",50,45,261100.46508048
"389","jobs",50,45,7518.36856672031
"390","jobs",50,45,25870.3537851875
"391","jobs",50,45,36755.3014899222
"392","jobs",50,45,956.140300843975
"393","jobs",50,45,110679.399590593
"394","jobs",50,45,4060.14028717482
"395","jobs",50,45,197713.482908157
"396","jobs",50,45,44110.9702587984
"397","jobs",50,45,49009.5638169889
"398","jobs",50,45,160273.253857963
"399","jobs",50,45,1209.45476506533
"400","jobs",50,45,0
"401","jobs",50,45,62077.1525950904
"402","jobs",50,45,183760.381651572
"403","jobs",50,45,44194.7614904077
"404","jobs",50,45,105198.461566982
"405","jobs",50,45,164902.562371374
"406","jobs",50,45,900.859652361881
"407","jobs",50,45,205411.170242574
"408","jobs",50,45,5299.01784799149
"409","jobs",50,45,40670.3287700386
"410","jobs",50,45,37156.7011733782
"411","jobs",50,45,172521.128802508
"412","jobs",50,45,264.730096912023
"413","jobs",50,45,184304.040288962
"414","jobs",50,45,157919.967584978
"415","jobs",50,45,203270.450240968
"416","jobs",50,45,26856.827648173
"417","jobs",50,45,109772.412190499
"418","jobs",50,45,150579.660827794
"419","jobs",50,45,15647.9445399533
"420","jobs",50,45,62318.768272829
"421","jobs",50,45,185889.951654005
"422","jobs",50,45,31762.384510517
"423","jobs",50,45,0
"424","jobs",50,45,67485.9149326724
"425","jobs",50,45,95261.7759070606
"426","jobs",50,45,236667.975658017
"427","jobs",50,45,197041.128653329
"428","jobs",50,45,263.252226981487
"429","jobs",50,45,141147.56858582
"430","jobs",50,45,177841.813084187
"431","jobs",50,45,77693.1475948447
"432","jobs",50,45,94380.0108271789
"433","jobs",50,45,30266.4560612999
"434","jobs",50,45,26282.0668036134
"435","jobs",50,45,9552.81922862181
"436","jobs",50,45,209440.438177572
"437","jobs",50,45,374.679740557802
"438","jobs",50,45,15769.9982446668
"439","jobs",50,45,85563.2201252138
"440","jobs",50,45,108652.236634482
