id,opportunity,percentile,cutoff,accessibility
1,jobs,50,45,42589.901946060185
2,jobs,50,45,201764.31373584445
3,jobs,50,45,204761.5614651252
4,jobs,50,45,31709.195116423885
5,jobs,50,45,18244.79316406138
6,jobs,50,45,1950.6901485941328
7,jobs,50,45,35393.294025624964
8,jobs,50,45,12948.288489903058
9,jobs,50,45,79542.08638442351
10,jobs,50,45,182483.43582373342
11,jobs,50,45,20622.838276119008
12,jobs,50,45,38345.64762312857
13,jobs,50,45,24702.002694612616
14,jobs,50,45,11909.20658610775
15,jobs,50,45,468.0863786010932
16,jobs,50,45,38881.95930904465
17,jobs,50,45,7937.892279202814
18,jobs,50,45,119787.75617884725
19,jobs,50,45,14777.595219495914
20,jobs,50,45,21909.46701809794
21,jobs,50,45,19716.178695194256
22,jobs,50,45,14879.564617637649
23,jobs,50,45,154458.2978801407
24,jobs,50,45,237833.81502088674
25,jobs,50,45,9287.403938228063
26,jobs,50,45,183060.34955341794
27,jobs,50,45,39153.49770994717
28,jobs,50,45,277519.34866247355
29,jobs,50,45,112959.92970378017
30,jobs,50,45,79513.69679539301
31,jobs,50,45,263732.0229207175
32,jobs,50,45,43955.64830973756
33,jobs,50,45,57471.976535483474
34,jobs,50,45,12771.222751790801
35,jobs,50,45,229874.85875546673
36,jobs,50,45,84536.4394897412
37,jobs,50,45,422.79370777678616
38,jobs,50,45,49669.00719186973
39,jobs,50,45,20896.758138882862
40,jobs,50,45,247913.5698679758
41,jobs,50,45,143718.8406215149
42,jobs,50,45,209722.06797672083
43,jobs,50,45,162241.3528465887
44,jobs,50,45,89266.84126917517
45,jobs,50,45,260603.01108698497
46,jobs,50,45,188526.33204327888
47,jobs,50,45,32754.110146073657
48,jobs,50,45,202559.10210342467
49,jobs,50,45,20872.172489438908
50,jobs,50,45,0
51,jobs,50,45,208035.71563211078
52,jobs,50,45,137708.07140582512
53,jobs,50,45,458.6810494824589
54,jobs,50,45,182430.10827584824
55,jobs,50,45,137389.61145509162
56,jobs,50,45,245730.33205534695
57,jobs,50,45,7354.445924332798
58,jobs,50,45,33862.0892448692
59,jobs,50,45,97881.34748675779
60,jobs,50,45,157468.73489631922
61,jobs,50,45,143974.38042649176
62,jobs,50,45,109680.03346685163
63,jobs,50,45,8770.735886830682
64,jobs,50,45,28795.256939612653
65,jobs,50,45,217950.39859446624
66,jobs,50,45,0
67,jobs,50,45,55101.88901328562
68,jobs,50,45,28703.965925592212
69,jobs,50,45,93541.19801966073
70,jobs,50,45,68599.36523057165
71,jobs,50,45,46803.46651729141
72,jobs,50,45,41215.84113573214
73,jobs,50,45,174137.4399880757
74,jobs,50,45,5240.678022520752
75,jobs,50,45,223396.58161587798
76,jobs,50,45,107008.92545901248
77,jobs,50,45,18343.317442166986
78,jobs,50,45,189850.67438877386
79,jobs,50,45,163136.55401734076
80,jobs,50,45,47749.95156359144
81,jobs,50,45,5235.909265709664
82,jobs,50,45,43643.60675366176
83,jobs,50,45,24147.305779602477
84,jobs,50,45,15977.34315858552
85,jobs,50,45,616.6928108592377
86,jobs,50,45,185648.33904337656
87,jobs,50,45,110967.12945147158
88,jobs,50,45,121847.6567491516
89,jobs,50,45,37716.47691257925
90,jobs,50,45,0
91,jobs,50,45,241000.29529356246
92,jobs,50,45,47580.15689401568
93,jobs,50,45,40230.53075667848
94,jobs,50,45,202653.8155024348
95,jobs,50,45,35913.557557568754
96,jobs,50,45,20132.55267136681
97,jobs,50,45,145143.3812598327
98,jobs,50,45,50635.388786768905
99,jobs,50,45,173192.91720141305
100,jobs,50,45,0
101,jobs,50,45,93034.0950350158
102,jobs,50,45,22925.023174151956
103,jobs,50,45,13867.678472382899
104,jobs,50,45,121293.85848713768
105,jobs,50,45,241429.10569387107
106,jobs,50,45,186878.0908771827
107,jobs,50,45,6980.831849012059
108,jobs,50,45,50418.75911066383
109,jobs,50,45,16046.814125397606
110,jobs,50,45,22447.235331729746
111,jobs,50,45,5176.624009572376
112,jobs,50,45,37601.96129663669
113,jobs,50,45,31894.38317886844
114,jobs,50,45,13459.182851552723
115,jobs,50,45,59366.4368010977
116,jobs,50,45,9938.283210736385
117,jobs,50,45,74739.7139803459
118,jobs,50,45,30758.092201672265
119,jobs,50,45,84951.57575593007
120,jobs,50,45,49988.53874805549
121,jobs,50,45,18407.125484650496
122,jobs,50,45,65626.20165115864
123,jobs,50,45,180722.40243341788
124,jobs,50,45,5311.010065442849
125,jobs,50,45,11783.698770970603
126,jobs,50,45,4601.749978525658
127,jobs,50,45,7753.324253900469
128,jobs,50,45,50315.98047431729
129,jobs,50,45,116047.7016158417
130,jobs,50,45,81118.81157509408
131,jobs,50,45,9415.484174648753
132,jobs,50,45,169277.2545429853
133,jobs,50,45,184137.86173983393
134,jobs,50,45,241442.65773118316
135,jobs,50,45,204837.87786248024
136,jobs,50,45,43702.08443325227
137,jobs,50,45,426.7510619313452
138,jobs,50,45,0
139,jobs,50,45,44852.188677853934
140,jobs,50,45,199621.06035683872
141,jobs,50,45,197071.45458227448
142,jobs,50,45,7047.47918083471
143,jobs,50,45,14551.069733215783
144,jobs,50,45,474.80374281581544
145,jobs,50,45,59895.764312614774
146,jobs,50,45,23929.558835559197
147,jobs,50,45,194318.19468465616
148,jobs,50,45,59824.800731020914
149,jobs,50,45,63087.48300678815
150,jobs,50,45,147846.90536929903
151,jobs,50,45,109941.35844169662
152,jobs,50,45,109081.67943755026
153,jobs,50,45,7719.210108524488
154,jobs,50,45,0
155,jobs,50,45,123724.959398492
156,jobs,50,45,55536.929452953555
157,jobs,50,45,74443.4137182098
158,jobs,50,45,40764.52916172317
159,jobs,50,45,83274.55787218739
160,jobs,50,45,96743.39810873424
161,jobs,50,45,184309.3637906409
162,jobs,50,45,0
163,jobs,50,45,94326.75053542486
164,jobs,50,45,171537.53857666426
165,jobs,50,45,233325.43916458043
166,jobs,50,45,53038.4838275091
