"id","opportunity","percentile","cutoff","accessibility"
"1","jobs",50,45,42589.9019460602
"2","jobs",50,45,201695.302537209
"3","jobs",50,45,204720.253713031
"4","jobs",50,45,31709.1951164239
"5","jobs",50,45,18244.7931640614
"6","jobs",50,45,1950.69014859413
"7","jobs",50,45,35380.1942092645
"8","jobs",50,45,12948.2884899031
"9","jobs",50,45,78845.3750734968
"10","jobs",50,45,181959.082014245
"11","jobs",50,45,20622.838276119
"12","jobs",50,45,38343.0109804664
"13","jobs",50,45,24702.0026946126
"14","jobs",50,45,11909.2065861077
"15","jobs",50,45,468.086378601093
"16","jobs",50,45,38863.344869152
"17","jobs",50,45,7937.89227920281
"18","jobs",50,45,119771.996198966
"19","jobs",50,45,14777.5952194959
"20","jobs",50,45,21870.7830667567
"21","jobs",50,45,19708.1004974722
"22","jobs",50,45,14879.5646176376
"23","jobs",50,45,154404.984317019
"24","jobs",50,45,237230.566958728
"25","jobs",50,45,9287.40393822806
"26","jobs",50,45,182535.99574393
"27","jobs",50,45,39134.8832700545
"28","jobs",50,45,277010.531113886
"29","jobs",50,45,112958.889934427
"30","jobs",50,45,78988.3209713659
"31","jobs",50,45,261474.378092789
"32","jobs",50,45,42309.9733674225
"33","jobs",50,45,57452.7852539896
"34","jobs",50,45,12771.2227517908
"35","jobs",50,45,229826.592014397
"36","jobs",50,45,84183.1462080886
"37","jobs",50,45,422.793707776786
"38","jobs",50,45,49644.4400015952
"39","jobs",50,45,20277.6274933064
"40","jobs",50,45,247777.473514628
"41","jobs",50,45,143699.798360257
"42","jobs",50,45,209547.953284755
"43","jobs",50,45,161885.629358961
"44","jobs",50,45,87788.7004378505
"45","jobs",50,45,260434.368344751
"46","jobs",50,45,186184.308373722
"47","jobs",50,45,32754.1101460737
"48","jobs",50,45,202343.791976964
"49","jobs",50,45,20842.5040839073
"50","jobs",50,45,0
"51","jobs",50,45,207748.206383392
"52","jobs",50,45,137487.837683727
"53","jobs",50,45,458.681049482459
"54","jobs",50,45,182310.569230728
"55","jobs",50,45,137374.33659249
"56","jobs",50,45,245549.157879147
"57","jobs",50,45,7314.6546507525
"58","jobs",50,45,33862.0892448692
"59","jobs",50,45,97807.2833363578
"60","jobs",50,45,155399.484838919
"61","jobs",50,45,143961.062710763
"62","jobs",50,45,109587.642886199
"63","jobs",50,45,8737.9458362305
"64","jobs",50,45,28795.2569396127
"65","jobs",50,45,217854.438295531
"66","jobs",50,45,0
"67","jobs",50,45,54758.6722792309
"68","jobs",50,45,28703.9659255922
"69","jobs",50,45,93530.0227246926
"70","jobs",50,45,68585.1993970718
"71","jobs",50,45,46800.4948054358
"72","jobs",50,45,41131.0135809476
"73","jobs",50,45,174114.968424631
"74","jobs",50,45,5240.67802252075
"75","jobs",50,45,223314.944308479
"76","jobs",50,45,106715.736455101
"77","jobs",50,45,18343.317442167
"78","jobs",50,45,189785.27583099
"79","jobs",50,45,163114.547532482
"80","jobs",50,45,45982.9439109592
"81","jobs",50,45,5235.90926570966
"82","jobs",50,45,43643.6067536618
"83","jobs",50,45,24147.3057796025
"84","jobs",50,45,15977.3431585855
"85","jobs",50,45,616.692810859238
"86","jobs",50,45,183188.191109674
"87","jobs",50,45,110936.639093322
"88","jobs",50,45,121191.815768249
"89","jobs",50,45,37716.4769125793
"90","jobs",50,45,0
"91","jobs",50,45,240574.852151998
"92","jobs",50,45,47546.1728278935
"93","jobs",50,45,40230.5307566785
"94","jobs",50,45,202625.67504105
"95","jobs",50,45,35237.0956125066
"96","jobs",50,45,20101.9082577545
"97","jobs",50,45,144789.104951749
"98","jobs",50,45,50635.4016765683
"99","jobs",50,45,172678.306507405
"100","jobs",50,45,0
"101","jobs",50,45,92973.1692035029
"102","jobs",50,45,22923.989251479
"103","jobs",50,45,13867.6784723829
"104","jobs",50,45,121278.073365604
"105","jobs",50,45,241258.086595346
"106","jobs",50,45,186832.754504896
"107","jobs",50,45,6979.98342490768
"108","jobs",50,45,50418.7720004632
"109","jobs",50,45,16046.8141253976
"110","jobs",50,45,22447.2353317297
"111","jobs",50,45,5176.62400957238
"112","jobs",50,45,37066.3820682856
"113","jobs",50,45,31892.2579921752
"114","jobs",50,45,13459.1828515527
"115","jobs",50,45,59364.103837087
"116","jobs",50,45,9938.28321073638
"117","jobs",50,45,74585.475894973
"118","jobs",50,45,30758.0922016723
"119","jobs",50,45,84711.1192238949
"120","jobs",50,45,49921.4069201326
"121","jobs",50,45,15990.3680087018
"122","jobs",50,45,65574.7386052925
"123","jobs",50,45,180699.426117032
"124","jobs",50,45,5207.39340169841
"125","jobs",50,45,10570.4949932799
"126","jobs",50,45,4600.90155442128
"127","jobs",50,45,7753.32425390047
"128","jobs",50,45,50313.9037516769
"129","jobs",50,45,115972.516059594
"130","jobs",50,45,81088.0818458769
"131","jobs",50,45,9415.48417464875
"132","jobs",50,45,169048.40193383
"133","jobs",50,45,184117.000254211
"134","jobs",50,45,241124.630390721
"135","jobs",50,45,204648.184364568
"136","jobs",50,45,28040.7306985079
"137","jobs",50,45,426.751061931345
"138","jobs",50,45,0
"139","jobs",50,45,44852.1886778539
"140","jobs",50,45,199436.25288551
"141","jobs",50,45,196808.065392433
"142","jobs",50,45,7046.63075673033
"143","jobs",50,45,14551.0697332158
"144","jobs",50,45,474.803742815815
"145","jobs",50,45,59178.53252214
"146","jobs",50,45,23929.5588355592
"147","jobs",50,45,194084.541467271
"148","jobs",50,45,59765.3507396168
"149","jobs",50,45,62436.6496713473
"150","jobs",50,45,143677.262421102
"151","jobs",50,45,109662.395417886
"152","jobs",50,45,109080.616573408
"153","jobs",50,45,7717.42182158739
"154","jobs",50,45,0
"155","jobs",50,45,123655.780024684
"156","jobs",50,45,55518.3150130609
"157","jobs",50,45,73860.9444433762
"158","jobs",50,45,35567.4096660086
"159","jobs",50,45,83255.9434322947
"160","jobs",50,45,95756.8848173639
"161","jobs",50,45,184263.643436543
"162","jobs",50,45,0
"163","jobs",50,45,93747.9390024893
"164","jobs",50,45,167872.282230321
"165","jobs",50,45,233025.971465903
"166","jobs",50,45,52973.9568110452
"167","jobs",50,45,91772.4115725938
"168","jobs",50,45,217517.970634564
"169","jobs",50,45,54458.4368800721
"170","jobs",50,45,64080.4783644182
"171","jobs",50,45,76050.4654624649
"172","jobs",50,45,6655.82924242601
"173","jobs",50,45,58814.3964335099
"174","jobs",50,45,0
"175","jobs",50,45,199174.240669951
"176","jobs",50,45,1997.17015309391
"177","jobs",50,45,36739.484612934
"178","jobs",50,45,452.741048048279
"179","jobs",50,45,52100.5311884579
"180","jobs",50,45,3781.11752567731
"181","jobs",50,45,102084.253221949
"182","jobs",50,45,27629.7844129262
"183","jobs",50,45,59063.8500442825
"184","jobs",50,45,208795.021410311
"185","jobs",50,45,28512.2996358837
"186","jobs",50,45,3964.21385054773
"187","jobs",50,45,12914.3366387939
"188","jobs",50,45,243071.037428384
"189","jobs",50,45,0
"190","jobs",50,45,17615.2309255558
"191","jobs",50,45,0
"192","jobs",50,45,117718.263762401
"193","jobs",50,45,54928.3010799419
"194","jobs",50,45,194363.043453638
"195","jobs",50,45,10843.3093630612
"196","jobs",50,45,12381.3183911559
"197","jobs",50,45,26050.77198706
"198","jobs",50,45,38918.8862795113
"199","jobs",50,45,345.189732292926
"200","jobs",50,45,90731.0936162987
"201","jobs",50,45,18026.3721592808
"202","jobs",50,45,76293.3012056748
"203","jobs",50,45,7029.29969486108
"204","jobs",50,45,432.016804847869
"205","jobs",50,45,176214.423974688
"206","jobs",50,45,20616.8428684446
"207","jobs",50,45,36942.5081212367
"208","jobs",50,45,123056.481558694
"209","jobs",50,45,67533.144169764
"210","jobs",50,45,42324.6540242625
"211","jobs",50,45,30674.8654405759
"212","jobs",50,45,272567.809605888
"213","jobs",50,45,191200.509304763
"214","jobs",50,45,37718.2034446094
"215","jobs",50,45,35688.1773019873
"216","jobs",50,45,87657.0099084521
"217","jobs",50,45,87395.9543461276
"218","jobs",50,45,0
"219","jobs",50,45,17117.8874122166
"220","jobs",50,45,99832.3684841081
"221","jobs",50,45,238012.62356245
"222","jobs",50,45,10293.1598865759
"223","jobs",50,45,50395.9979353228
"224","jobs",50,45,174469.969649723
"225","jobs",50,45,196366.18600734
"226","jobs",50,45,161016.41333541
"227","jobs",50,45,1557.56037045771
"228","jobs",50,45,171025.983412102
"229","jobs",50,45,53893.2001531774
"230","jobs",50,45,1607.96841690316
"231","jobs",50,45,7494.34875405199
"232","jobs",50,45,1565.34600763767
"233","jobs",50,45,181385.067490775
"234","jobs",50,45,149874.441141776
"235","jobs",50,45,463.96741033827
"236","jobs",50,45,12626.4906725049
"237","jobs",50,45,9021.93557523384
"238","jobs",50,45,22734.7578109774
"239","jobs",50,45,272504.337878019
"240","jobs",50,45,91258.4619186627
"241","jobs",50,45,129412.399654364
"242","jobs",50,45,16508.7162282064
"243","jobs",50,45,102222.75072145
"244","jobs",50,45,252583.553931186
"245","jobs",50,45,259792.775245628
"246","jobs",50,45,9741.69646304067
"247","jobs",50,45,0
"248","jobs",50,45,48707.8424028294
"249","jobs",50,45,184690.37392286
"250","jobs",50,45,28528.3744846295
"251","jobs",50,45,3830.6618108331
"252","jobs",50,45,13768.4850438521
"253","jobs",50,45,114536.11039415
"254","jobs",50,45,0
"255","jobs",50,45,13745.3393516929
"256","jobs",50,45,84605.1652416105
"257","jobs",50,45,197135.85673019
"258","jobs",50,45,205079.155694978
"259","jobs",50,45,42984.2817895047
"260","jobs",50,45,57435.2231065894
"261","jobs",50,45,3332.49253375929
"262","jobs",50,45,90753.9227021572
"263","jobs",50,45,118239.164627107
"264","jobs",50,45,197300.219111747
"265","jobs",50,45,206731.616838752
"266","jobs",50,45,33997.1491037581
"267","jobs",50,45,11991.5362939239
"268","jobs",50,45,143245.807729985
"269","jobs",50,45,180617.280831545
"270","jobs",50,45,218244.672562986
"271","jobs",50,45,107755.62815395
"272","jobs",50,45,167829.261340495
"273","jobs",50,45,150544.485343378
"274","jobs",50,45,15848.5252269009
"275","jobs",50,45,34193.3695848189
"276","jobs",50,45,53280.6931303586
"277","jobs",50,45,185400.56038638
"278","jobs",50,45,452.117151706465
"279","jobs",50,45,183136.653368867
"280","jobs",50,45,50297.3760510466
"281","jobs",50,45,664.828287423314
"282","jobs",50,45,193428.133341918
"283","jobs",50,45,193744.546523962
"284","jobs",50,45,243520.099669852
"285","jobs",50,45,76029.0808465611
"286","jobs",50,45,58039.0182363998
"287","jobs",50,45,2628.46848474375
"288","jobs",50,45,17034.879956006
"289","jobs",50,45,6617.99554713927
"290","jobs",50,45,0
"291","jobs",50,45,162501.066813997
"292","jobs",50,45,41695.2717865621
"293","jobs",50,45,93820.0637297221
"294","jobs",50,45,47892.169052509
"295","jobs",50,45,171365.7291958
"296","jobs",50,45,8825.34988297253
"297","jobs",50,45,61518.5261914554
"298","jobs",50,45,11097.5989764491
"299","jobs",50,45,19353.0999459557
"300","jobs",50,45,76024.5792602453
"301","jobs",50,45,50258.3868387856
"302","jobs",50,45,30488.07727658
"303","jobs",50,45,48180.7834614961
"304","jobs",50,45,67019.0355057468
"305","jobs",50,45,161607.419274952
"306","jobs",50,45,130290.74003582
"307","jobs",50,45,2336.90779992609
"308","jobs",50,45,9380.50579441702
"309","jobs",50,45,82720.4846996867
"310","jobs",50,45,33775.9024952222
"311","jobs",50,45,11898.4709487686
"312","jobs",50,45,171155.201880839
"313","jobs",50,45,9923.41738119691
"314","jobs",50,45,106069.890444459
"315","jobs",50,45,27881.4471326725
